name,stage,groups,table,appendix_table,reuse_from,checkpoint_alias,market_snapshot_alias,correction_scope,status,started_at_utc,finished_at_utc,elapsed_seconds,relative_run_path,file_count,total_bytes,config_digest,device,dtype,python,numpy,torch,cuda_device_count,state_dim,control_dim,brownian_dim
t5_budget_seed3_e250,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed3_e250,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527775Z,2026-07-24T03:37:35.527781Z,,runs_paper_full_shift/t5_budget_seed3_e250,11,5086895,643ae4338bf45f33,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed3_e500,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed3_e500,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527787Z,2026-07-24T03:37:35.527793Z,,runs_paper_full_shift/t5_budget_seed3_e500,11,5146452,f503202ded84780c,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed3_e1000,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed3_e1000,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527798Z,2026-07-24T03:37:35.527803Z,,runs_paper_full_shift/t5_budget_seed3_e1000,11,5153709,c91409e9cb00ca84,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t6_merton_cap_d2,pipeline,section5;table6;paper,6,,,merton_cap_d2_e500,,direct,present,,,,runs_paper_full_shift/t6_merton_cap_d2,11,270483,9a19af43653494c3,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,3,2
t6_merton_cap_d10,pipeline,section5;table6;paper,6,,,merton_cap_d10_e500,,direct,present,,,,runs_paper_full_shift/t6_merton_cap_d10,11,657606,1b3002ee180b1267,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,11,10
t6_merton_cap_d100,pipeline,section5;table6;paper,6,,,merton_cap_d100_e500,,direct,present,,,,runs_paper_full_shift/t6_merton_cap_d100,11,4902961,0591b13614fcba6e,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,101,100
t6_merton_cap_d100_exact,pipeline,exact;section5;table6;paper,6,,,,,direct,present,,,,runs_paper_full_shift/t6_merton_cap_d100_exact,10,4882725,655bda3de4cb3a39,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,101,100
t7_affine_canonical,pipeline,exact;section5;table7;paper,7,,,,,unaffected,present,,,,runs_paper_full_shift/t7_affine_canonical,10,199032,01fe9d488e8525b0,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,2,1,2
t7_affine_hedging,pipeline,exact;section5;table7;paper,7,,,,,unaffected,present,,,,runs_paper_full_shift/t7_affine_hedging,10,198107,65d8323973478de0,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,2,1,2
t8_merton_cap_iid,pipeline,section5;table8;table9;paper,8,,,merton_cap_d100_e500,,direct,skipped_complete,2026-07-24T03:37:35.527809Z,2026-07-24T03:37:35.527815Z,,runs_paper_full_shift/t8_merton_cap_iid,11,2482627,bb5a6847717f5fa5,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,101,100
t8_merton_cap_wealth_edge,pipeline,section5;table8;table9;paper,8,,,merton_cap_d100_e500,,direct,present,,,,runs_paper_full_shift/t8_merton_cap_wealth_edge,11,2457945,82595668c875e7fa,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,101,100
t8_merton_cap_stress,pipeline,section5;table8;table9;paper,8,,,merton_cap_d100_e500,,direct,present,,,,runs_paper_full_shift/t8_merton_cap_stress,11,2448766,91d4b2b29d8aa3f5,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,101,100
